job_id,permit_type,permit_subtype,work_type,job_type,filing_status,filing_date,borough,community_board,residential,bldg_type,zip_code
321805855,FO,EA,,NB,RENEWAL,2023-11-20,BROOKLYN,301,YES,2,11222
340757381,EW,OT,OT,A2,RENEWAL,2023-11-30,BROOKLYN,302,,2,11201
322038479,EW,OT,OT,A2,RENEWAL,2023-11-30,BROOKLYN,302,,2,11201
321920515,PL,,PL,A2,RENEWAL,2023-11-21,BROOKLYN,317,YES,1,11203
240357403,EQ,OT,EQ,A3,INITIAL,2023-11-21,BRONX,212,YES,2,10469
300498450,AL,,,A1,RENEWAL,2023-11-22,BROOKLYN,314,YES,1,11210
321557338,PL,,PL,A2,RENEWAL,2023-11-22,BROOKLYN,317,YES,2,11203
340681337,EW,SP,SP,A2,INITIAL,2023-11-22,BROOKLYN,303,,2,11205
321595895,AL,,,A1,RENEWAL,2023-11-24,BROOKLYN,303,YES,2,11221
322104236,DM,,,DM,INITIAL,2023-11-24,BROOKLYN,301,,1,11206
420665122,AL,,,A1,RENEWAL,2023-11-24,QUEENS,407,,2,11355
121205034,AL,,,A1,RENEWAL,2023-11-27,MANHATTAN,101,,2,10013
123774102,EW,SP,SP,A2,RENEWAL,2023-11-27,MANHATTAN,101,,2,10013
220695148,AL,,,A1,RENEWAL,2023-11-29,BRONX,209,YES,2,10472
340783441,EW,OT,OT,A2,RENEWAL,2023-11-30,BROOKLYN,302,,2,11201
321380233,PL,,PL,NB,RENEWAL,2023-11-30,BROOKLYN,312,,2,11219
421640978,AL,,,A1,RENEWAL,2023-11-30,QUEENS,411,YES,1,11362
420665122,AL,,,A1,RENEWAL,2023-11-30,QUEENS,407,,2,11355
121188053,FO,,,NB,RENEWAL,2023-12-01,MANHATTAN,101,YES,2,10038
120521453,EW,OT,OT,A2,RENEWAL,2023-12-05,MANHATTAN,112,YES,2,10033
220705422,EW,OT,OT,A2,RENEWAL,2023-12-05,BRONX,210,YES,1,10464
321805828,FO,EA,,NB,RENEWAL,2023-12-11,BROOKLYN,301,YES,2,11222
420274189,PL,,PL,A2,RENEWAL,2023-12-11,QUEENS,414,YES,2,11694
421930557,EW,BL,BL,A2,RENEWAL,2023-12-11,QUEENS,405,YES,2,11385
101837737,NB,,,NB,RENEWAL,2023-12-12,MANHATTAN,105,,2,10036
402887916,EW,OT,OT,A2,RENEWAL,2023-12-12,QUEENS,405,,2,11378
122137437,EQ,FN,EQ,NB,RENEWAL,2023-12-13,MANHATTAN,105,YES,2,10022
201048865,NB,,,NB,RENEWAL,2023-12-14,BRONX,208,YES,1,10468
122938385,PL,,PL,A2,RENEWAL,2023-12-14,MANHATTAN,111,,2,10029
122938385,PL,,PL,A2,RENEWAL,2023-12-14,MANHATTAN,111,,2,10029
220632322,EW,OT,OT,A2,RENEWAL,2023-12-14,BRONX,208,YES,1,10463
220632322,PL,,PL,A2,RENEWAL,2023-12-14,BRONX,208,YES,1,10463
321544450,EQ,FN,EQ,A1,RENEWAL,2023-12-14,BROOKLYN,312,YES,1,11219
320061400,AL,,,A1,RENEWAL,2023-12-14,BROOKLYN,315,YES,1,11235
121918531,PL,,PL,A2,RENEWAL,2023-12-14,MANHATTAN,107,,2,10023
240329738,EW,OT,OT,A2,RENEWAL,2023-12-15,BRONX,208,YES,2,10471
103314423,EW,OT,OT,A2,RENEWAL,2023-12-15,MANHATTAN,107,,2,10025
140361828,AL,,OT,A3,INITIAL,2023-12-15,MANHATTAN,105,,2,10001
500152586,NB,,,NB,RENEWAL,2023-12-15,STATEN ISLAND,503,YES,1,10312
322116321,AL,,,A1,RENEWAL,2023-12-18,BROOKLYN,302,,2,11201
420841557,EW,OT,OT,A2,RENEWAL,2023-12-18,QUEENS,405,YES,1,11378
340900948,EW,OT,OT,A2,INITIAL,2023-12-20,BROOKLYN,313,YES,1,11224
220631341,NB,,,NB,INITIAL,2023-12-20,BRONX,207,YES,2,10468
400043519,NB,,,NB,RENEWAL,2023-12-20,QUEENS,408,,2,11435
121185813,EQ,FN,EQ,NB,RENEWAL,2023-12-21,MANHATTAN,105,YES,2,10001
321597839,AL,,,A1,RENEWAL,2023-12-21,BROOKLYN,309,YES,1,11225
340753125,EW,OT,OT,A2,RENEWAL,2023-12-21,BROOKLYN,305,YES,1,11207
421078069,AL,,,A1,RENEWAL,2023-12-22,QUEENS,411,YES,1,11360
540178699,EW,OT,OT,A2,RENEWAL,2023-12-22,STATEN ISLAND,502,YES,1,10314
320912937,AL,,,A1,RENEWAL,2023-12-22,BROOKLYN,303,YES,2,11216
321131299,PL,,PL,A2,RENEWAL,2023-12-26,BROOKLYN,303,YES,2,11221
321387940,AL,,,A1,RENEWAL,2023-12-26,BROOKLYN,304,YES,2,11237
321195032,EQ,FN,EQ,NB,RENEWAL,2023-12-27,BROOKLYN,302,YES,2,11201
121189301,NB,,,NB,RENEWAL,2023-12-27,MANHATTAN,107,YES,2,10023
440635822,EW,OT,OT,A2,RENEWAL,2023-12-29,QUEENS,403,YES,1,11369
121206818,FO,EA,,NB,RENEWAL,2023-12-28,MANHATTAN,111,YES,2,10035
121206818,FO,,,NB,RENEWAL,2023-12-28,MANHATTAN,111,YES,2,10035
421211076,AL,,,A1,RENEWAL,2023-12-29,QUEENS,403,,2,11368
421091115,PL,,PL,A2,RENEWAL,2023-12-29,QUEENS,407,YES,2,11354
421154752,EW,OT,OT,A2,RENEWAL,2023-12-29,QUEENS,407,YES,2,11354
123250196,DM,,,DM,INITIAL,2023-12-29,MANHATTAN,104,,2,10018
540178699,EW,OT,OT,A2,RENEWAL,2024-01-02,STATEN ISLAND,502,YES,1,10314
420602324,NB,,,NB,RENEWAL,2024-01-02,QUEENS,402,YES,2,11101
123878795,EW,OT,OT,A2,RENEWAL,2024-01-03,MANHATTAN,109,YES,2,10031
121206818,FO,,,NB,RENEWAL,2024-01-03,MANHATTAN,111,YES,2,10035
320906374,NB,,,NB,RENEWAL,2024-01-05,BROOKLYN,310,YES,2,11228
421171840,EQ,FN,EQ,A3,RENEWAL,2024-01-05,QUEENS,402,YES,2,11101
121206818,FO,EA,,NB,RENEWAL,2024-01-05,MANHATTAN,111,YES,2,10035
302231243,NB,,,NB,RENEWAL,2024-01-08,BROOKLYN,301,,2,11222
220728899,DM,,,DM,INITIAL,2024-01-08,BRONX,211,,1,10469
321732069,AL,,,A1,RENEWAL,2024-01-08,BROOKLYN,303,YES,2,11238
